ID_MOVIMENTACAO_AGORA;COD_TAG_PATRIMONIO;DESCRICAO_ITEM;CATEGORIA_BEM;VALOR_AVALIADO;UNIDADE_ORIGEM;UNIDADE_DESTINO;STATUS_SOLICITACAO;DATA_REGISTRO_AGORA;OPERADOR_RESPONSAVEL
AGORA-1001;PAT-200101;Item Ágora Mobiliário e Escritório #1;Mobiliário e Escritório;20882.73;Filial - Rio de Janeiro;Filial - Curitiba;Concluida;2026-07-06 12:30:00;Ana Paula (Patrimônio)
AGORA-1002;PAT-200102;Item Ágora Maquinário e Ferramentas #2;Maquinário e Ferramentas;13087.27;Filial - Rio de Janeiro;Filial - Curitiba;Concluida;2026-07-07 12:30:00;Ana Paula (Patrimônio)
AGORA-1003;PAT-200103;Item Ágora Equipamentos de TI #3;Equipamentos de TI;8750.92;Filial - Belo Horizonte;Matriz - São Paulo;Concluida;2026-07-08 13:30:00;Ana Paula (Patrimônio)
AGORA-1004;PAT-200104;Item Ágora Mobiliário e Escritório #4;Mobiliário e Escritório;18486.41;Filial - Curitiba;Filial - Salvador;Em Transito;2026-07-16 17:30:00;Marcos Viana (Logística)
AGORA-1005;PAT-200105;Item Ágora Veículos Corporativos #5;Veículos Corporativos;14826.48;Centro de Distribuição - Campinas;Filial - Curitiba;Concluida;2026-07-22 09:30:00;Marcos Viana (Logística)
AGORA-1006;PAT-200106;Item Ágora Veículos Corporativos #6;Veículos Corporativos;2401.54;Filial - Curitiba;Centro de Distribuição - Campinas;Concluida;2026-07-02 11:30:00;Marcos Viana (Logística)
AGORA-1007;PAT-200107;Item Ágora Mobiliário e Escritório #7;Mobiliário e Escritório;13781.15;Matriz - São Paulo;Filial - Rio de Janeiro;Concluida;2026-07-24 11:30:00;Ana Paula (Patrimônio)
AGORA-1008;PAT-200108;Item Ágora Veículos Corporativos #8;Veículos Corporativos;6689.49;Filial - Belo Horizonte;Matriz - São Paulo;Pendente;2026-07-20 10:30:00;Juliana Paes (TI)
AGORA-1009;PAT-200109;Item Ágora Maquinário e Ferramentas #9;Maquinário e Ferramentas;9744.68;Filial - Curitiba;Matriz - São Paulo;Pendente;2026-07-22 17:30:00;Marcos Viana (Logística)
AGORA-1010;PAT-200110;Item Ágora Mobiliário e Escritório #10;Mobiliário e Escritório;11103.34;Filial - Curitiba;Filial - Salvador;Em Transito;2026-07-12 12:30:00;Juliana Paes (TI)
